id;custdat_id;cust_id;cust_first_name;cust_middle_name;cust_last_name;cust_addr_line_1;cust_addr_line_2;cust_addr_line_3;cust_addr_state_cd;cust_addr_country_cd;cust_addr_zip;cust_phone_num_1;cust_phone_num_2;cust_ssn;cust_govt_issued_id;cust_dob_yyyy_mm_dd;cust_eft_account_id;cust_pri_card_holder_ind;cust_fico_credit_score;filler
1;35108;8;Louisiana turn-key reinte;navigating;Games Tunisian project;Organic;withdrawal Music;content;In;out;ability;Mouse Hat;Netherlands Sma;5;dynamic compress;iterate ex;Electronic;M;0;Manor Mobility Concrete
2;10376;0;payment Rubber Small;Fish;Account;Dollar bypass Focused;compressing;Administrator neutral;GB;Pla;payment;payment calcula;relationships g;2;navigate supply-chai;salmon tra;solid pars;T;1;Guinea Berkshire
3;32221;0;Synergized;Table index;Cambridgeshire;Massachusetts;world-class plum;bypassing;So;Fro;Paradigm I;initiatives Hig;Nauru analyzing;7;deposit;Cuba world;digital;S;3;Bedfordshire Chicken Towels
4;66372;5;navigating generate Accou;Human Intelligent synthes;Australia bluetooth Plast;utilisation Research;Principal Courts parse;Buckinghamshire;Di;Fac;green Leso;Re-engineered s;Auto invoice gr;2;Pike back Movies;CSS;sensor Ita;P;3;asymmetric Decentralized
5;37703;0;system;emulation;Sausages Guatemala deposi;XML virtual;project Gorgeous application;Dominican Senior Chips;Er;Int;Kids Refin;content-based C;synergies Bucki;1;services Handcrafted;Administra;portal Avo;h;0;reinvent Card card
6;64628;6;firmware Incredible;Roads;system array Operations;cross-platform e-business human-resource;Global neural hacking;bottom-line calculating;ha;Key;Concrete B;optical deposit;National Pakist;1;Cote parsing Adaptiv;withdrawal;Table;m;3;mint Connecticut
7;78738;8;engineer;Handcrafted;projection;24/365 plum program;Future;holistic;We;pay;bandwidth;Generic XSS Int;extranet Concre;7;Assistant;Movies Rwa;Garden;i;2;Michigan
8;23300;1;Bedfordshire;Dynamic;copy green Colorado;Soft;brand;drive;10;XSS;European;Account;program navigat;3;technologies;Berkshire;turn-key B;I;3;compress
9;10831;9;withdrawal;Gorgeous hacking National;Field;Cliff azure Engineer;Borders Tasty;payment Glens optical;Po;Mex;Fantastic ;XSS;Legacy Synergis;6;Colon Garden;National U;Business-f;A;1;XSS
10;27386;9;Peso;Designer Cross-group Colo;Reverse-engineered Lucia ;Regional Refined JSON;Computer;Security;Pl;Aut;user-centr;black access Ru;Associate Ball ;0;Home Reactive Automo;Parkways C;Branding i;D;0;JSON Senior generate
